pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,selected_variant,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,D_total,D_med,D_bias,rot_err_deg,trans_dir_err_deg
91,Street,img,,,Street/img/image2_001919.png,Street/img_west/image_west_0492.png,v0_A2B_p1_s1,60.795166,10.679214,61.663504,nan,284.24115572567604,71.31561769410173,212.9255380315743,93.4357938057521,nan
92,Street,img_east,,,Street/img_east/image_east_0132.png,Street/img_north/image_north_2_0154.png,v0_A2B_p1_s1,63.151697,0.761429,63.165278,nan,14.305882651056876,2.2573196209749393,12.048563030081937,2.9132953232813663,nan
93,GreatCourt,seq1,,,GreatCourt/seq1/frame00109.png,GreatCourt/seq3/frame00255.png,v0_A2B_p1_s1,51.821242,3.911373,52.03203,nan,61.45936341668056,27.864557421233638,33.594805995446926,4.328785588953872,34.22698803219228
94,Street,img_north,,,Street/img_north/image_north_2_0373.png,Street/img/image2_000742.png,v0_A2B_p1_s1,50.275673,2.405796,51.777352,nan,19.23308706656081,6.826827904505599,12.40625916205521,5.094106451107496,nan
95,GreatCourt,seq5,,,GreatCourt/seq5/frame00084.png,GreatCourt/seq2/frame00211.png,v2_B2A_p1_s1,64.691571,2.652116,65.283019,nan,15.099527538049548,8.086721805539767,7.012805732509781,3.228386257783331,37.601867847544035
96,Street,img,,,Street/img/image1_000377.png,Street/img/image1_000399.png,v0_A2B_p1_s1,51.19766,1.224257,51.841153,nan,312.47197143141506,101.67707396182335,210.7948974695917,21.151246778330446,nan
97,Street,img_east,,,Street/img_east/image_east_0476.png,Street/img/image2_000312.png,v3_B2A_p2_s2,59.402647,2.349766,59.452872,nan,67.97302971990767,32.267097466881424,35.70593225302625,2.3121221740996787,nan
98,GreatCourt,seq1,,,GreatCourt/seq1/frame00038.png,GreatCourt/seq3/frame00516.png,v1_A2B_p2_s2,50.21709,3.294304,50.324301,nan,12.417287938746366,6.586496016034777,5.830791922711588,2.3445167390305697,54.27856330322631
99,Street,img_north,,,Street/img_north/image_north_1_0429.png,Street/img_east/image_east_0386.png,v0_A2B_p1_s1,57.998569,3.564902,58.371682,nan,22.32220463800398,10.231689194287865,12.090515443716116,3.354446380153352,nan
100,GreatCourt,seq5,,,GreatCourt/seq5/frame00316.png,GreatCourt/seq2/frame00063.png,v2_B2A_p1_s1,64.312785,3.189937,64.568878,nan,23.94625741557104,6.5556404670086454,17.390616948562393,1.5301753970596748,62.08041669517289
101,Street,img,,,Street/img/image2_001780.png,Street/img_east/image_east_0127.png,v2_B2A_p1_s1,56.100064,8.919171,58.153822,nan,7.823887429862603,3.804349597081972,4.019537832780632,2.982703917928684,nan
102,Street,img_east,,,Street/img_east/image_east_0136.png,Street/img/image2_001840.png,v2_B2A_p1_s1,54.930471,1.680238,54.998079,nan,15.10877940429627,7.963710550455815,7.1450688538404545,3.8112615226020687,nan
103,GreatCourt,seq1,,,GreatCourt/seq1/frame00035.png,GreatCourt/seq5/frame00267.png,v1_A2B_p2_s2,62.109864,3.959531,62.225271,nan,34.2305234890244,6.6167964711971194,27.61372701782728,0.9307739440734699,14.136923584503478
104,Street,img_north,,,Street/img_north/image_north_2_0167.png,Street/img_east/image_east_0145.png,v0_A2B_p1_s1,62.171407,4.158657,62.368559,nan,247.30226294937896,6.324119702951611,240.97814324642735,2.7414602495536853,nan
105,GreatCourt,seq5,,,GreatCourt/seq5/frame00354.png,GreatCourt/seq1/frame00201.png,v3_B2A_p2_s2,62.075933,5.576674,62.740576,nan,20.718800937949055,6.93509458319418,13.783706354754873,14.702224801740561,47.492974516827815
106,Street,img,,,Street/img/image2_000765.png,Street/img_south/image_south_1_0250.png,v2_B2A_p1_s1,50.930364,4.801759,51.186542,nan,41.52909027713427,29.420552552862507,12.108537724271763,4.773461509143166,nan
107,Street,img_east,,,Street/img_east/image_east_0475.png,Street/img/image2_000313.png,v3_B2A_p2_s2,63.3848,4.724591,63.667676,nan,49.994803045208165,41.323274547729014,8.671528497479153,2.9018331440938026,nan
108,GreatCourt,seq1,,,GreatCourt/seq1/frame00404.png,GreatCourt/seq5/frame00201.png,v3_B2A_p2_s2,52.106256,4.635152,52.600327,nan,74.38635526917056,39.67809590053721,34.70825936863335,3.637275767204565,43.06847745956042
109,Street,img_north,,,Street/img_north/image_north_1_0540.png,Street/img/image2_000130.png,v3_B2A_p2_s2,50.262685,1.972413,50.514664,nan,9.171320243894858,3.3324913299761625,5.838828913918695,6.656398153416861,nan
110,GreatCourt,seq5,,,GreatCourt/seq5/frame00372.png,GreatCourt/seq1/frame00184.png,v0_A2B_p1_s1,64.643698,13.395971,65.950531,nan,18.71268266001951,5.083572571749967,13.629110088269545,3.283009329061844,44.95292591290504
111,Street,img,,,Street/img/image2_001618.png,Street/img/image2_001717.png,v2_B2A_p1_s1,52.064813,2.097366,52.320595,nan,10.334156672104687,4.099420500186197,6.234736171918491,3.313670541923817,nan
112,Street,img_east,,,Street/img_east/image_east_0181.png,Street/img_north/image_north_1_0244.png,v1_A2B_p2_s2,62.270537,8.998063,62.862644,nan,10.34121299587328,4.377477539945019,5.96373545592826,3.4312526354452277,nan
113,GreatCourt,seq1,,,GreatCourt/seq1/frame00545.png,GreatCourt/seq5/frame00474.png,v1_A2B_p2_s2,60.720658,0.157857,61.397269,nan,19.14215600930313,3.164012394307292,15.978143614995837,2.924566159119001,38.66853781757895
114,Street,img_north,,,Street/img_north/image_north_1_0425.png,Street/img_east/image_east_0381.png,v0_A2B_p1_s1,61.178019,0.483601,61.192391,nan,24.099421269129834,13.644316281751946,10.45510498737789,4.977241896636241,nan
115,GreatCourt,seq5,,,GreatCourt/seq5/frame00372.png,GreatCourt/seq5/frame00380.png,v2_B2A_p1_s1,63.331354,1.892203,64.430287,nan,101.6254387107651,6.2795594013625,95.34587930940259,6.119607593511692,21.800679174788993
