pair_idx,pair_dir,selected_variant,interpose_RE_deg,interpose_TE_deg,pair_only_RE_deg,pair_only_TE_deg,delta_RE_deg_inter_minus_pair,delta_TE_deg_inter_minus_pair
30,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00030_70eac6ff18a1,v0_A2B_p1_s1,4.357963216335554,3.4989134217940006,nan,nan,nan,nan
31,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00031_fb2c0499c225,v1_A2B_p2_s2,8.680064060508903,7.470982769613977,nan,nan,nan,nan
32,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00032_5c8dafad7d78,v0_A2B_p1_s1,0.4897589618351633,2.4729690732257743,nan,nan,nan,nan
33,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00033_fb2c0499c225,v3_B2A_p2_s2,10.948306005266076,4.886175622070244,nan,nan,nan,nan
34,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00034_8cb2e97d26a6,v0_A2B_p1_s1,1.7500752396276502,1.3661487725017107,nan,nan,nan,nan
35,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00035_56452d9cd9e2,v0_A2B_p1_s1,5.98628862433713,4.438791899948793,nan,nan,nan,nan
36,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00036_341b4ff3dfd3,v0_A2B_p1_s1,4.458098023914532,138.4428397144593,nan,nan,nan,nan
37,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00037_6d81c5ab0d48,v0_A2B_p1_s1,8.687532459645801,1.3420041711244504,nan,nan,nan,nan
38,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00038_800cf88687a7,v2_B2A_p1_s1,1.095729927788874,0.4909437100973686,nan,nan,nan,nan
39,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00039_9641a1ed7963,v3_B2A_p2_s2,2.883196352658055,3.006880501889348,nan,nan,nan,nan
40,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00040_ef59aac43713,v1_A2B_p2_s2,2.048725737513565,2.5848181969921398,nan,nan,nan,nan
41,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00041_ec1e44d4dc0f,v3_B2A_p2_s2,6.166973346790529,0.7574583726232843,nan,nan,nan,nan
42,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00042_b3bf9079b442,v1_A2B_p2_s2,8.267876622296688,6.489730481601596,nan,nan,nan,nan
43,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00043_3bb3bb4d3e87,v1_A2B_p2_s2,3.418792459468516,3.519508363653942,nan,nan,nan,nan
44,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00044_7da3db99059a,v0_A2B_p1_s1,5.804024455434574,2.384902014836851,nan,nan,nan,nan
45,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00045_374ffd0c5ff8,v3_B2A_p2_s2,1.079326897041774,1.400588449515092,nan,nan,nan,nan
46,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00046_7a9f97660be8,v3_B2A_p2_s2,1.6069040353693222,0.3362484894359035,nan,nan,nan,nan
47,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00047_387eeb925ba4,v3_B2A_p2_s2,8.837194287019601,5.842602514059076,nan,nan,nan,nan
48,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00048_b5faa2a8ce98,v0_A2B_p1_s1,1.0569991811404993,5.272566361857309,nan,nan,nan,nan
49,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00049_6d221625614d,v2_B2A_p1_s1,0.8210836494627243,2.7778262897860277,nan,nan,nan,nan
50,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00050_7705a2edd022,v3_B2A_p2_s2,12.223958588527466,1.436788128875986,nan,nan,nan,nan
51,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00051_d1b3a0b37acc,v3_B2A_p2_s2,8.456226813157855,19.057433142150682,nan,nan,nan,nan
52,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00052_0bfdd020cf47,v3_B2A_p2_s2,7.7287808578084425,4.504037798665536,nan,nan,nan,nan
53,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00053_165f5af8bfe3,v2_B2A_p1_s1,2.542490060890571,1.8974958242893272,nan,nan,nan,nan
54,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00054_c37109a55eff,v3_B2A_p2_s2,5.211195526348709,4.555237266794402,nan,nan,nan,nan
