pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
182,hand_drill_cordless_blue_black,multiview-03-pixel_6pro,multiview-03-pixel_6pro,hand_drill_cordless_blue_black/multiview-03-pixel_6pro/images/020.jpg,hand_drill_cordless_blue_black/multiview-03-pixel_6pro/images/021.jpg,76.119345,6.7334212751890625,3.6437829745227583
183,hut_mushrooms_showpiece,multiview-00-pixel_4a,multiview-00-pixel_4a,hut_mushrooms_showpiece/multiview-00-pixel_4a/images/016.jpg,hut_mushrooms_showpiece/multiview-00-pixel_4a/images/017.jpg,81.350555,3.111809083040156,1.8168230854285679
184,ice_cream_cart_showpiece,multiview-03-pixel_6pro,multiview-03-pixel_6pro,ice_cream_cart_showpiece/multiview-03-pixel_6pro/images/017.jpg,ice_cream_cart_showpiece/multiview-03-pixel_6pro/images/018.jpg,70.030677,2.3462703724491907,1.980433933613446
185,keywest_showpiece_s,multiview-00-pixel_6pro,multiview-00-pixel_6pro,keywest_showpiece_s/multiview-00-pixel_6pro/images/021.jpg,keywest_showpiece_s/multiview-00-pixel_6pro/images/023.jpg,86.813446,3.24397021953732,2.889888085887023
186,paper_weight_flowers_showpiece,multiview-04-pixel_6pro,multiview-04-pixel_6pro,paper_weight_flowers_showpiece/multiview-04-pixel_6pro/images/016.jpg,paper_weight_flowers_showpiece/multiview-04-pixel_6pro/images/017.jpg,73.530487,4.830176585245821,3.262990153046698
187,pumpkin_showpiece_s,multiview-00-pixel_4a,multiview-00-pixel_4a,pumpkin_showpiece_s/multiview-00-pixel_4a/images/014.jpg,pumpkin_showpiece_s/multiview-00-pixel_4a/images/016.jpg,75.718232,5.399295987310578,8.637158388839916
188,remote_control_toy_car_s,multiview-02-pixel_6pro,multiview-02-pixel_6pro,remote_control_toy_car_s/multiview-02-pixel_6pro/images/020.jpg,remote_control_toy_car_s/multiview-02-pixel_6pro/images/023.jpg,58.599532,0.9742583687602541,0.715063094922482
189,schleich_african_black_rhino,multiview-10-pixel_4xl,multiview-10-pixel_4xl,schleich_african_black_rhino/multiview-10-pixel_4xl/images/030.jpg,schleich_african_black_rhino/multiview-10-pixel_4xl/images/032.jpg,78.156712,2.659760553118962,0.46439754330123345
190,schleich_bald_eagle,multiview-07-pixel_4xl,multiview-07-pixel_4xl,schleich_bald_eagle/multiview-07-pixel_4xl/images/035.jpg,schleich_bald_eagle/multiview-07-pixel_4xl/images/036.jpg,72.375216,1.4745624054949114,0.9899658905410877
191,schleich_hereford_bull,multiview-03-ipad_5,multiview-03-ipad_5,schleich_hereford_bull/multiview-03-ipad_5/images/030.jpg,schleich_hereford_bull/multiview-03-ipad_5/images/036.jpg,73.123016,5.250469018757535,3.735314913515399
